date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XNSE,360 ONE WAM LIMITED,EQ,EQUITY,100,1,10,INE466L01038,0330-0338|0345-1000|1245-1345,0,NSE:360ONE-EQ,13061,360ONE,360ONE,0,,INR
20260713,XNSE,ABB INDIA LIMITED,EQ,EQUITY,100,1,50,INE117A01022,0330-0338|0345-1000|1245-1345,0,NSE:ABB-EQ,13,ABB,ABB,0,,INR
20260713,XNSE,ADITYA BIRLA CAPITAL LTD.,EQ,EQUITY,100,1,5,INE674K01013,0330-0338|0345-1000|1245-1345,0,NSE:ABCAPITAL-EQ,21614,ABCAPITAL,ABCAPITAL,0,,INR
20260713,XNSE,ADANI ENERGY SOLUTION LTD,EQ,EQUITY,100,1,10,INE931S01010,0330-0338|0345-1000|1245-1345,0,NSE:ADANIENSOL-EQ,10217,ADANIENSOL,ADANIENSOL,0,,INR
20260713,XNSE,ADANI ENTERPRISES LIMITED,EQ,EQUITY,100,1,10,INE423A01024,0330-0338|0345-1000|1245-1345,0,NSE:ADANIENT-EQ,25,ADANIENT,ADANIENT,0,,INR
20260713,XNSE,ADANI GREEN ENERGY LTD,EQ,EQUITY,100,1,10,INE364U01010,0330-0338|0345-1000|1245-1345,0,NSE:ADANIGREEN-EQ,3563,ADANIGREEN,ADANIGREEN,0,,INR
20260713,XNSE,ADANI PORT & SEZ LTD,EQ,EQUITY,100,1,10,INE742F01042,0330-0338|0345-1000|1245-1345,0,NSE:ADANIPORTS-EQ,15083,ADANIPORTS,ADANIPORTS,0,,INR
20260713,XNSE,ADANI POWER LTD,EQ,EQUITY,100,1,1,INE814H01029,0330-0338|0345-1000|1245-1345,0,NSE:ADANIPOWER-EQ,17388,ADANIPOWER,ADANIPOWER,0,,INR
20260713,XNSE,ALKEM LABORATORIES LTD.,EQ,EQUITY,100,1,50,INE540L01014,0330-0338|0345-1000|1245-1345,0,NSE:ALKEM-EQ,11703,ALKEM,ALKEM,0,,INR
20260713,XNSE,AMBER ENTERPRISES (I) LTD,EQ,EQUITY,100,1,50,INE371P01015,0330-0338|0345-1000|1245-1345,0,NSE:AMBER-EQ,1185,AMBER,AMBER,0,,INR
