date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XIMC,360ONE 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:360ONE26JULFUT,61095,360ONE,360ONE,0,,INR
20260713,XIMC,ABB 28 Jul 26 FUT,FUTSTK,FUTURE,100,125,50,,0345-1000|1245-1345,1785232800000000000,NSE:ABB26JULFUT,61096,ABB,ABB,0,,INR
20260713,XIMC,ABCAPITAL 28 Jul 26 FUT,FUTSTK,FUTURE,100,3100,5,,0345-1000|1245-1345,1785232800000000000,NSE:ABCAPITAL26JULFUT,61097,ABCAPITAL,ABCAPITAL,0,,INR
20260713,XIMC,ADANIENSOL 28 Jul 26 FUT,FUTSTK,FUTURE,100,675,10,,0345-1000|1245-1345,1785232800000000000,NSE:ADANIENSOL26JULFUT,61098,ADANIENSOL,ADANIENSOL,0,,INR
20260713,XIMC,ADANIENT 28 Jul 26 FUT,FUTSTK,FUTURE,100,309,10,,0345-1000|1245-1345,1785232800000000000,NSE:ADANIENT26JULFUT,61099,ADANIENT,ADANIENT,0,,INR
20260713,XIMC,ADANIGREEN 28 Jul 26 FUT,FUTSTK,FUTURE,100,600,10,,0345-1000|1245-1345,1785232800000000000,NSE:ADANIGREEN26JULFUT,61100,ADANIGREEN,ADANIGREEN,0,,INR
20260713,XIMC,ADANIPORTS 28 Jul 26 FUT,FUTSTK,FUTURE,100,475,10,,0345-1000|1245-1345,1785232800000000000,NSE:ADANIPORTS26JULFUT,61101,ADANIPORTS,ADANIPORTS,0,,INR
20260713,XIMC,ADANIPOWER 28 Jul 26 FUT,FUTSTK,FUTURE,100,3550,1,,0345-1000|1245-1345,1785232800000000000,NSE:ADANIPOWER26JULFUT,61102,ADANIPOWER,ADANIPOWER,0,,INR
20260713,XIMC,ALKEM 28 Jul 26 FUT,FUTSTK,FUTURE,100,125,50,,0345-1000|1245-1345,1785232800000000000,NSE:ALKEM26JULFUT,61103,ALKEM,ALKEM,0,,INR
20260713,XIMC,AMBER 28 Jul 26 FUT,FUTSTK,FUTURE,100,100,50,,0345-1000|1245-1345,1785232800000000000,NSE:AMBER26JULFUT,61104,AMBER,AMBER,0,,INR
20260713,XIMC,AMBUJACEM 28 Jul 26 FUT,FUTSTK,FUTURE,100,1200,5,,0345-1000|1245-1345,1785232800000000000,NSE:AMBUJACEM26JULFUT,61105,AMBUJACEM,AMBUJACEM,0,,INR
20260713,XIMC,ANGELONE 28 Jul 26 FUT,FUTSTK,FUTURE,100,2500,5,,0345-1000|1245-1345,1785232800000000000,NSE:ANGELONE26JULFUT,61106,ANGELONE,ANGELONE,0,,INR
20260713,XIMC,APLAPOLLO 28 Jul 26 FUT,FUTSTK,FUTURE,100,350,10,,0345-1000|1245-1345,1785232800000000000,NSE:APLAPOLLO26JULFUT,61107,APLAPOLLO,APLAPOLLO,0,,INR
20260713,XIMC,APOLLOHOSP 28 Jul 26 FUT,FUTSTK,FUTURE,100,125,50,,0345-1000|1245-1345,1785232800000000000,NSE:APOLLOHOSP26JULFUT,61108,APOLLOHOSP,APOLLOHOSP,0,,INR
20260713,XIMC,ASHOKLEY 28 Jul 26 FUT,FUTSTK,FUTURE,100,5000,1,,0345-1000|1245-1345,1785232800000000000,NSE:ASHOKLEY26JULFUT,61109,ASHOKLEY,ASHOKLEY,0,,INR
20260713,XIMC,ASIANPAINT 28 Jul 26 FUT,FUTSTK,FUTURE,100,250,10,,0345-1000|1245-1345,1785232800000000000,NSE:ASIANPAINT26JULFUT,61110,ASIANPAINT,ASIANPAINT,0,,INR
20260713,XIMC,ASTRAL 28 Jul 26 FUT,FUTSTK,FUTURE,100,425,10,,0345-1000|1245-1345,1785232800000000000,NSE:ASTRAL26JULFUT,61111,ASTRAL,ASTRAL,0,,INR
20260713,XIMC,AUBANK 28 Jul 26 FUT,FUTSTK,FUTURE,100,1000,10,,0345-1000|1245-1345,1785232800000000000,NSE:AUBANK26JULFUT,61112,AUBANK,AUBANK,0,,INR
20260713,XIMC,AUROPHARMA 28 Jul 26 FUT,FUTSTK,FUTURE,100,550,10,,0345-1000|1245-1345,1785232800000000000,NSE:AUROPHARMA26JULFUT,61113,AUROPHARMA,AUROPHARMA,0,,INR
20260713,XIMC,AXISBANK 28 Jul 26 FUT,FUTSTK,FUTURE,100,625,10,,0345-1000|1245-1345,1785232800000000000,NSE:AXISBANK26JULFUT,61114,AXISBANK,AXISBANK,0,,INR
20260713,XIMC,BAJAJ-AUTO 28 Jul 26 FUT,FUTSTK,FUTURE,100,75,50,,0345-1000|1245-1345,1785232800000000000,NSE:BAJAJ-AUTO26JULFUT,61115,BAJAJ-AUTO,BAJAJ-AUTO,0,,INR
20260713,XIMC,BAJAJFINSV 28 Jul 26 FUT,FUTSTK,FUTURE,100,300,10,,0345-1000|1245-1345,1785232800000000000,NSE:BAJAJFINSV26JULFUT,61116,BAJAJFINSV,BAJAJFINSV,0,,INR
20260713,XIMC,BAJAJHLDNG 28 Jul 26 FUT,FUTSTK,FUTURE,100,75,100,,0345-1000|1245-1345,1785232800000000000,NSE:BAJAJHLDNG26JULFUT,61117,BAJAJHLDNG,BAJAJHLDNG,0,,INR
20260713,XIMC,BAJFINANCE 28 Jul 26 FUT,FUTSTK,FUTURE,100,750,10,,0345-1000|1245-1345,1785232800000000000,NSE:BAJFINANCE26JULFUT,61118,BAJFINANCE,BAJFINANCE,0,,INR
20260713,XIMC,BANDHANBNK 28 Jul 26 FUT,FUTSTK,FUTURE,100,3600,1,,0345-1000|1245-1345,1785232800000000000,NSE:BANDHANBNK26JULFUT,61121,BANDHANBNK,BANDHANBNK,0,,INR
20260713,XIMC,BANKBARODA 28 Jul 26 FUT,FUTSTK,FUTURE,100,2925,5,,0345-1000|1245-1345,1785232800000000000,NSE:BANKBARODA26JULFUT,61122,BANKBARODA,BANKBARODA,0,,INR
20260713,XIMC,BANKINDIA 28 Jul 26 FUT,FUTSTK,FUTURE,100,5200,1,,0345-1000|1245-1345,1785232800000000000,NSE:BANKINDIA26JULFUT,61123,BANKINDIA,BANKINDIA,0,,INR
20260713,XIMC,BDL 28 Jul 26 FUT,FUTSTK,FUTURE,100,425,10,,0345-1000|1245-1345,1785232800000000000,NSE:BDL26JULFUT,61124,BDL,BDL,0,,INR
20260713,XIMC,BEL 28 Jul 26 FUT,FUTSTK,FUTURE,100,1425,5,,0345-1000|1245-1345,1785232800000000000,NSE:BEL26JULFUT,61125,BEL,BEL,0,,INR
20260713,XIMC,BHARATFORG 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:BHARATFORG26JULFUT,61126,BHARATFORG,BHARATFORG,0,,INR
20260713,XIMC,BHARTIARTL 28 Jul 26 FUT,FUTSTK,FUTURE,100,475,10,,0345-1000|1245-1345,1785232800000000000,NSE:BHARTIARTL26JULFUT,61127,BHARTIARTL,BHARTIARTL,0,,INR
20260713,XIMC,BHEL 28 Jul 26 FUT,FUTSTK,FUTURE,100,2625,5,,0345-1000|1245-1345,1785232800000000000,NSE:BHEL26JULFUT,61128,BHEL,BHEL,0,,INR
20260713,XIMC,BIOCON 28 Jul 26 FUT,FUTSTK,FUTURE,100,2500,5,,0345-1000|1245-1345,1785232800000000000,NSE:BIOCON26JULFUT,61129,BIOCON,BIOCON,0,,INR
20260713,XIMC,BLUESTARCO 28 Jul 26 FUT,FUTSTK,FUTURE,100,325,10,,0345-1000|1245-1345,1785232800000000000,NSE:BLUESTARCO26JULFUT,61130,BLUESTARCO,BLUESTARCO,0,,INR
20260713,XIMC,BOSCHLTD 28 Jul 26 FUT,FUTSTK,FUTURE,100,25,500,,0345-1000|1245-1345,1785232800000000000,NSE:BOSCHLTD26JULFUT,61131,BOSCHLTD,BOSCHLTD,0,,INR
20260713,XIMC,BPCL 28 Jul 26 FUT,FUTSTK,FUTURE,100,1975,5,,0345-1000|1245-1345,1785232800000000000,NSE:BPCL26JULFUT,61132,BPCL,BPCL,0,,INR
20260713,XIMC,BRITANNIA 28 Jul 26 FUT,FUTSTK,FUTURE,100,125,50,,0345-1000|1245-1345,1785232800000000000,NSE:BRITANNIA26JULFUT,61133,BRITANNIA,BRITANNIA,0,,INR
20260713,XIMC,BSE 28 Jul 26 FUT,FUTSTK,FUTURE,100,200,10,,0345-1000|1245-1345,1785232800000000000,NSE:BSE26JULFUT,61134,BSE,BSE,0,,INR
20260713,XIMC,CAMS 28 Jul 26 FUT,FUTSTK,FUTURE,100,825,5,,0345-1000|1245-1345,1785232800000000000,NSE:CAMS26JULFUT,61135,CAMS,CAMS,0,,INR
20260713,XIMC,CANBK 28 Jul 26 FUT,FUTSTK,FUTURE,100,6750,1,,0345-1000|1245-1345,1785232800000000000,NSE:CANBK26JULFUT,61136,CANBK,CANBK,0,,INR
20260713,XIMC,CDSL 28 Jul 26 FUT,FUTSTK,FUTURE,100,475,10,,0345-1000|1245-1345,1785232800000000000,NSE:CDSL26JULFUT,61139,CDSL,CDSL,0,,INR
20260713,XIMC,CGPOWER 28 Jul 26 FUT,FUTSTK,FUTURE,100,850,5,,0345-1000|1245-1345,1785232800000000000,NSE:CGPOWER26JULFUT,61140,CGPOWER,CGPOWER,0,,INR
20260713,XIMC,CHOLAFIN 28 Jul 26 FUT,FUTSTK,FUTURE,100,625,10,,0345-1000|1245-1345,1785232800000000000,NSE:CHOLAFIN26JULFUT,61141,CHOLAFIN,CHOLAFIN,0,,INR
20260713,XIMC,CIPLA 28 Jul 26 FUT,FUTSTK,FUTURE,100,425,10,,0345-1000|1245-1345,1785232800000000000,NSE:CIPLA26JULFUT,61142,CIPLA,CIPLA,0,,INR
20260713,XIMC,COALINDIA 28 Jul 26 FUT,FUTSTK,FUTURE,100,1350,5,,0345-1000|1245-1345,1785232800000000000,NSE:COALINDIA26JULFUT,61143,COALINDIA,COALINDIA,0,,INR
20260713,XIMC,COCHINSHIP 28 Jul 26 FUT,FUTSTK,FUTURE,100,400,10,,0345-1000|1245-1345,1785232800000000000,NSE:COCHINSHIP26JULFUT,61144,COCHINSHIP,COCHINSHIP,0,,INR
20260713,XIMC,COFORGE 28 Jul 26 FUT,FUTSTK,FUTURE,100,475,10,,0345-1000|1245-1345,1785232800000000000,NSE:COFORGE26JULFUT,61145,COFORGE,COFORGE,0,,INR
20260713,XIMC,COLPAL 28 Jul 26 FUT,FUTSTK,FUTURE,100,275,10,,0345-1000|1245-1345,1785232800000000000,NSE:COLPAL26JULFUT,61146,COLPAL,COLPAL,0,,INR
20260713,XIMC,CONCOR 28 Jul 26 FUT,FUTSTK,FUTURE,100,1250,5,,0345-1000|1245-1345,1785232800000000000,NSE:CONCOR26JULFUT,61149,CONCOR,CONCOR,0,,INR
20260713,XIMC,CROMPTON 28 Jul 26 FUT,FUTSTK,FUTURE,100,2150,5,,0345-1000|1245-1345,1785232800000000000,NSE:CROMPTON26JULFUT,61150,CROMPTON,CROMPTON,0,,INR
20260713,XIMC,CUMMINSIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,200,50,,0345-1000|1245-1345,1785232800000000000,NSE:CUMMINSIND26JULFUT,61151,CUMMINSIND,CUMMINSIND,0,,INR
20260713,XIMC,DABUR 28 Jul 26 FUT,FUTSTK,FUTURE,100,1250,5,,0345-1000|1245-1345,1785232800000000000,NSE:DABUR26JULFUT,61152,DABUR,DABUR,0,,INR
20260713,XIMC,DALBHARAT 28 Jul 26 FUT,FUTSTK,FUTURE,100,325,10,,0345-1000|1245-1345,1785232800000000000,NSE:DALBHARAT26JULFUT,61157,DALBHARAT,DALBHARAT,0,,INR
20260713,XIMC,DELHIVERY 28 Jul 26 FUT,FUTSTK,FUTURE,100,2075,5,,0345-1000|1245-1345,1785232800000000000,NSE:DELHIVERY26JULFUT,61158,DELHIVERY,DELHIVERY,0,,INR
20260713,XIMC,DIVISLAB 28 Jul 26 FUT,FUTSTK,FUTURE,100,100,50,,0345-1000|1245-1345,1785232800000000000,NSE:DIVISLAB26JULFUT,61159,DIVISLAB,DIVISLAB,0,,INR
20260713,XIMC,DIXON 28 Jul 26 FUT,FUTSTK,FUTURE,100,50,100,,0345-1000|1245-1345,1785232800000000000,NSE:DIXON26JULFUT,61160,DIXON,DIXON,0,,INR
20260713,XIMC,DLF 28 Jul 26 FUT,FUTSTK,FUTURE,100,950,5,,0345-1000|1245-1345,1785232800000000000,NSE:DLF26JULFUT,61161,DLF,DLF,0,,INR
20260713,XIMC,DMART 28 Jul 26 FUT,FUTSTK,FUTURE,100,150,10,,0345-1000|1245-1345,1785232800000000000,NSE:DMART26JULFUT,61162,DMART,DMART,0,,INR
20260713,XIMC,DRREDDY 28 Jul 26 FUT,FUTSTK,FUTURE,100,625,10,,0345-1000|1245-1345,1785232800000000000,NSE:DRREDDY26JULFUT,61163,DRREDDY,DRREDDY,0,,INR
20260713,XIMC,EICHERMOT 28 Jul 26 FUT,FUTSTK,FUTURE,100,100,50,,0345-1000|1245-1345,1785232800000000000,NSE:EICHERMOT26JULFUT,61164,EICHERMOT,EICHERMOT,0,,INR
20260713,XIMC,ETERNAL 28 Jul 26 FUT,FUTSTK,FUTURE,100,2425,5,,0345-1000|1245-1345,1785232800000000000,NSE:ETERNAL26JULFUT,61165,ETERNAL,ETERNAL,0,,INR
20260713,XIMC,EXIDEIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,1800,5,,0345-1000|1245-1345,1785232800000000000,NSE:EXIDEIND26JULFUT,61166,EXIDEIND,EXIDEIND,0,,INR
20260713,XIMC,FEDERALBNK 28 Jul 26 FUT,FUTSTK,FUTURE,100,2500,5,,0345-1000|1245-1345,1785232800000000000,NSE:FEDERALBNK26JULFUT,61167,FEDERALBNK,FEDERALBNK,0,,INR
20260713,XIMC,FORCEMOT 28 Jul 26 FUT,FUTSTK,FUTURE,100,25,100,,0345-1000|1245-1345,1785232800000000000,NSE:FORCEMOT26JULFUT,61168,FORCEMOT,FORCEMOT,0,,INR
20260713,XIMC,FORTIS 28 Jul 26 FUT,FUTSTK,FUTURE,100,775,5,,0345-1000|1245-1345,1785232800000000000,NSE:FORTIS26JULFUT,61169,FORTIS,FORTIS,0,,INR
20260713,XIMC,GAIL 28 Jul 26 FUT,FUTSTK,FUTURE,100,3550,1,,0345-1000|1245-1345,1785232800000000000,NSE:GAIL26JULFUT,61170,GAIL,GAIL,0,,INR
20260713,XIMC,GLENMARK 28 Jul 26 FUT,FUTSTK,FUTURE,100,375,10,,0345-1000|1245-1345,1785232800000000000,NSE:GLENMARK26JULFUT,61171,GLENMARK,GLENMARK,0,,INR
20260713,XIMC,GMRAIRPORT 28 Jul 26 FUT,FUTSTK,FUTURE,100,6975,1,,0345-1000|1245-1345,1785232800000000000,NSE:GMRAIRPORT26JULFUT,61178,GMRAIRPORT,GMRAIRPORT,0,,INR
20260713,XIMC,GODFRYPHLP 28 Jul 26 FUT,FUTSTK,FUTURE,100,275,10,,0345-1000|1245-1345,1785232800000000000,NSE:GODFRYPHLP26JULFUT,61179,GODFRYPHLP,GODFRYPHLP,0,,INR
20260713,XIMC,GODREJCP 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:GODREJCP26JULFUT,61182,GODREJCP,GODREJCP,0,,INR
20260713,XIMC,GODREJPROP 28 Jul 26 FUT,FUTSTK,FUTURE,100,325,10,,0345-1000|1245-1345,1785232800000000000,NSE:GODREJPROP26JULFUT,61183,GODREJPROP,GODREJPROP,0,,INR
20260713,XIMC,GRASIM 28 Jul 26 FUT,FUTSTK,FUTURE,100,250,10,,0345-1000|1245-1345,1785232800000000000,NSE:GRASIM26JULFUT,61184,GRASIM,GRASIM,0,,INR
20260713,XIMC,HAL 28 Jul 26 FUT,FUTSTK,FUTURE,100,150,10,,0345-1000|1245-1345,1785232800000000000,NSE:HAL26JULFUT,61185,HAL,HAL,0,,INR
20260713,XIMC,HAVELLS 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:HAVELLS26JULFUT,61186,HAVELLS,HAVELLS,0,,INR
20260713,XIMC,HCLTECH 28 Jul 26 FUT,FUTSTK,FUTURE,100,400,10,,0345-1000|1245-1345,1785232800000000000,NSE:HCLTECH26JULFUT,61187,HCLTECH,HCLTECH,0,,INR
20260713,XIMC,HDFCAMC 28 Jul 26 FUT,FUTSTK,FUTURE,100,300,10,,0345-1000|1245-1345,1785232800000000000,NSE:HDFCAMC26JULFUT,61188,HDFCAMC,HDFCAMC,0,,INR
20260713,XIMC,HDFCBANK 28 Jul 26 FUT,FUTSTK,FUTURE,100,650,5,,0345-1000|1245-1345,1785232800000000000,NSE:HDFCBANK26JULFUT,61189,HDFCBANK,HDFCBANK,0,,INR
