"trade_date","segment","token","symbol","expirydate","insttype","optiontype","strikeprice","lotmultiple","lotsize","ticksize","name","series","divisor","exch","fullname","freeze_qty"
2026-07-01,F&O,35000,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35001,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35002,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35003,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35004,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35005,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35006,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35007,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35008,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35009,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35010,BANKNIFTY,"1475159400",OPTIDX,CE,8250000,1.0,30,5.0,BANKNIFTY26SEP82500CE,XX,100,NSE,OPT BANKNIFTY 82500.00 CE 2026-09-29,1800
2026-07-01,F&O,35011,BANKNIFTY,"1472135400",OPTIDX,CE,3990000,1.0,30,5.0,BANKNIFTY26AUG39900CE,XX,100,NSE,OPT BANKNIFTY 39900.00 CE 2026-08-25,1800
2026-07-01,F&O,35012,BANKNIFTY,"1472135400",OPTIDX,PE,3990000,1.0,30,5.0,BANKNIFTY26AUG39900PE,XX,100,NSE,OPT BANKNIFTY 39900.00 PE 2026-08-25,1800
2026-07-01,F&O,35013,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35014,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35015,BANKNIFTY,"1475159400",OPTIDX,PE,8250000,1.0,30,5.0,BANKNIFTY26SEP82500PE,XX,100,NSE,OPT BANKNIFTY 82500.00 PE 2026-09-29,1800
2026-07-01,F&O,35016,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35017,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35018,MIDCPNIFTY,"1469716200",OPTIDX,CE,940000,1.0,120,5.0,MIDCPNIFTY26JUL9400CE,XX,100,NSE,OPT MIDCPNIFTY 9400.00 CE 2026-07-28,1800
2026-07-01,F&O,35019,MIDCPNIFTY,"1469716200",OPTIDX,PE,940000,1.0,120,5.0,MIDCPNIFTY26JUL9400PE,XX,100,NSE,OPT MIDCPNIFTY 9400.00 PE 2026-07-28,1800
2026-07-01,F&O,35020,MIDCPNIFTY,"1469716200",OPTIDX,CE,1167500,1.0,120,5.0,MIDCPNIFTY26JUL11675CE,XX,100,NSE,OPT MIDCPNIFTY 11675.00 CE 2026-07-28,1800
2026-07-01,F&O,35021,MIDCPNIFTY,"1469716200",OPTIDX,PE,1167500,1.0,120,5.0,MIDCPNIFTY26JUL11675PE,XX,100,NSE,OPT MIDCPNIFTY 11675.00 PE 2026-07-28,1800
2026-07-01,F&O,35022,NIFTY,"1469716200",OPTIDX,CE,2930000,1.0,65,5.0,NIFTY26JUL29300CE,XX,100,NSE,OPT NIFTY 29300.00 CE 2026-07-28,1800
2026-07-01,F&O,35023,NIFTY,"1469716200",OPTIDX,PE,2930000,1.0,65,5.0,NIFTY26JUL29300PE,XX,100,NSE,OPT NIFTY 29300.00 PE 2026-07-28,1800
2026-07-01,F&O,35024,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35025,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35026,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35027,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35028,BANKNIFTY,"1475159400",OPTIDX,CE,7800000,1.0,30,5.0,BANKNIFTY26SEP78000CE,XX,100,NSE,OPT BANKNIFTY 78000.00 CE 2026-09-29,1800
2026-07-01,F&O,35029,BANKNIFTY,"1475159400",OPTIDX,PE,7800000,1.0,30,5.0,BANKNIFTY26SEP78000PE,XX,100,NSE,OPT BANKNIFTY 78000.00 PE 2026-09-29,1800
2026-07-01,F&O,35030,FINNIFTY,"1472135400",OPTIDX,CE,1980000,1.0,60,5.0,FINNIFTY26AUG19800CE,XX,100,NSE,OPT FINNIFTY 19800.00 CE 2026-08-25,1800
2026-07-01,F&O,35031,FINNIFTY,"1472135400",OPTIDX,PE,1980000,1.0,60,5.0,FINNIFTY26AUG19800PE,XX,100,NSE,OPT FINNIFTY 19800.00 PE 2026-08-25,1800
2026-07-01,F&O,35032,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35033,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
